Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R46,22,R_0805_2012Metric,499.63415,-278.5887,270,bottom
R47,500,R_0805_2012Metric,165.8833,-195.2502,0,bottom
R48,10k,R_0805_2012Metric,152.3904,-176.9951,90,bottom
R49,10k,R_0805_2012Metric,508.7617,-188.9006,0,bottom
SW1,SW_Push,SKQG-1155865,250.41235,-293.669,180,bottom
U1,24LC02BT-I/SN,24LC04,466.6956,-262.7147,0,bottom
U2,PRTR5V0U2X,SOT143B,281.7635,-184.9321,180,bottom
U3,PRTR5V0U2X,SOT143B,367.4831,-187.3132,180,bottom
U4,PRTR5V0U2X,SOT143B,507.1743,-204.7746,90,bottom
U5,PRTR5V0U2X,SOT143B,486.5381,-188.9006,180,bottom
U6,PRTR5V0U2X,SOT143B,146.8345,-204.7746,270,bottom
U7,PRTR5V0U2X,SOT143B,191.2817,-189.6943,180,bottom
U8,PRTR5V0U2X,SOT143B,352.5591,-294.4627,90,bottom
U9,STM32F303CBT6,LQFP-48_7x7mm_P0.5mm,330.9729,-293.669,0,bottom
U10,PRTR5V0U2X,SOT143B,504.7932,-274.6202,90,bottom
U11,XC6206P332MR,SOT-23,277.0013,-302.00285,270,bottom
U12,74LVC1G34,SOT-353_SC-70-5,161.1211,-196.0439,0,bottom
U13,XC6206P332MR,SOT-23,460.346,-275.4139,90,bottom
UD1,Green,LED_0402_1005Metric,472.2515,-260.3336,180,bottom
UD2,Green,LED_0402_1005Metric,476.22,-260.3336,180,bottom
UD3,Green,LED_0402_1005Metric,480.1885,-260.3336,180,bottom
UD4,Green,LED_0402_1005Metric,484.157,-260.3336,180,bottom
UD5,Green,LED_0402_1005Metric,488.1255,-261.921,0,bottom
UD6,Green,LED_0402_1005Metric,492.094,-261.921,0,bottom
UD7,Green,LED_0402_1005Metric,496.0625,-261.921,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,281.7635,-171.4392,0,bottom
USB2,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,134.1353,-204.7746,90,bottom
USB5,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,367.4831,-171.4392,0,bottom
USB7,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,519.8735,-204.7746,270,bottom
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,314.3052,-290.4942,90,bottom
Y2,32.768kHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,314.3052,-297.6375,270,bottom
Y3,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,410.2866,-252.48715,90,bottom
